step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,5920,32,0.14457475253714183,0.0,0.0,0.12995521049879522,0.0,0.0,,
2,11072,64,0.15670457433735557,0.0,0.0,,,,,
3,18016,96,0.10196047192729728,0.0,0.0,,,,,
4,24192,128,0.09382578420473849,0.0,0.0,,,,,
5,29344,160,0.07556251520520998,0.0,0.0,,,,,
6,35776,192,0.035831442859473824,0.0625,0.0625,,,,,
7,40672,224,0.030643688049538927,0.6875,0.6875,,,,,
8,45824,256,0.02373310370424043,0.75,0.75,,,,,
9,49952,288,0.02897266338103112,0.65625,0.65625,0.026281671635578957,0.78125,0.78125,,
10,54336,320,0.026326095775863676,0.78125,0.78125,,,,,
11,60000,352,0.023184200837689094,0.625,0.625,,,,,
12,64896,384,0.024818028185907958,0.6875,0.6875,,,,,
13,71328,416,0.019421508999851154,0.71875,0.71875,,,,,
14,77248,448,0.019783796279731997,0.65625,0.65625,,,,,
15,82656,480,0.020494439450924266,0.75,0.75,,,,,
16,87808,512,0.024238498463312087,0.625,0.625,,,,,
17,93472,544,0.01852915303477429,0.75,0.75,0.01884607267614308,0.8125,0.8125,,
18,100160,576,0.012385160284497748,0.8125,0.8125,,,,,
19,105824,608,0.0225029476651836,0.5625,0.5625,,,,,
20,110720,640,0.022191363119617783,0.65625,0.65625,,,,,
21,116384,672,0.018410932407566014,0.8125,0.8125,,,,,
22,121792,704,0.019887106243920455,0.71875,0.71875,,,,,
23,127968,736,0.017536981364949446,0.6875,0.6875,,,,,
24,132096,768,0.02112253819026435,0.78125,0.78125,,,,,
25,136224,800,0.024009608839288037,0.75,0.75,0.02202416349544474,0.78125,0.78125,,
26,142144,832,0.021783083558709185,0.625,0.625,,,,,
27,146528,864,0.0210114692084825,0.84375,0.84375,,,,,
28,152960,896,0.016471614729783098,0.71875,0.71875,,,,,
29,158368,928,0.022859040205730922,0.65625,0.65625,,,,,
30,165056,960,0.016343208580759314,0.65625,0.65625,,,,,
31,170976,992,0.019720031300492526,0.65625,0.65625,,,,,
32,175616,1024,0.019539502189343808,0.8125,0.8125,,,,,
33,181024,1056,0.020264932963559884,0.65625,0.65625,0.018930459079154163,0.59375,0.59375,,
34,185664,1088,0.021795550657264247,0.71875,0.71875,,,,,
35,191328,1120,0.016393625381457107,0.75,0.75,,,,,
36,196480,1152,0.02176425526388607,0.65625,0.65625,,,,,
37,202656,1184,0.019281614350845484,0.59375,0.59375,,,,,
38,210880,1216,0.011451110519109645,0.71875,0.71875,,,,,
39,216544,1248,0.017359856919583052,0.75,0.75,,,,,
40,222464,1280,0.016711539771932703,0.75,0.75,,,,,
41,228128,1312,0.015722449619391145,0.78125,0.78125,0.020535690554197107,0.625,0.625,,
42,235328,1344,0.011353579703089308,0.8125,0.8125,,,,,
43,241504,1376,0.018232350089403864,0.6875,0.6875,,,,,
44,246656,1408,0.02395698262158143,0.5625,0.5625,,,,,
