, ,url,title,summary,claimant,verdict,party,topic,sub category,date_published,creator,publisher,license_type,copyright,verdict_simplified,date,number_articles_newsbank
0,4821544.0,https://www.abc.net.au/news/4821544,No evidence to support Foreign Minister Bob Carr's economic migrants claims,"Foreign Minister Bob Carr claims people arriving in Australia recently by boat are not refugees fleeing persecution, but economic migrants.",Bob Carr,Unsubstantiated,Labor,Immigration,,Wed Aug 14 00:12:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-14 00:12:38,0
1,4842978.0,https://www.abc.net.au/news/4842978, Tony Burke not telling the full story on unaccompanied asylum seeker children,The Federal Government's refugee deal with Papua New Guinea sparked questions about who will be responsible for unaccompanied minors sent offshore.,Tony Burke,Incomplete,Labor,Immigration,Refuge,Wed Aug 14 17:27:44 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-14 17:27:44,0
2,4856454.0,https://www.abc.net.au/news/4856454,Tony Abbott's comments on same-sex marriage laws mostly true,Some state governments have raised the prospect of introducing their own same-sex marriage laws. But Opposition Leader Tony Abbott claims marriage is a responsibility of the Commonwealth parliament.,Tony Abbott,Lawyers' Picnic,Liberal,Social Issues,Same Sex Marriage,Wed Aug 14 00:12:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-14 00:12:38,0
3,4856762.0,https://www.abc.net.au/news/4856762,Julian Assange goes too far on Barack Obama's prosecutions against whistleblowers,Julian Assange claims Barack Obama has prosecuted more whistleblowers for espionage than all previous US presidents combined since 1917.,Julian Assange,Overreach,Independent,,War on Whistleblowers,Fri Aug 16 12:31:03 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-16 12:31:03,0
4,4865274.0,https://www.abc.net.au/news/4865274,Labor MP Michelle Rowland incorrect on the Coalition's policy costings,"Federal Labor member for Greenway in New South Wales, Michelle Rowland, claims the Coalition has not submitted any policies for costing to the Parliamentary Budget Office.",Michelle Rowland,Incorrect,Labor,Budget(s),,Wed Aug 14 00:13:48 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-14 00:13:48,0
5,4866236.0,https://www.abc.net.au/news/4866236,"Kevin Rudd's ad on Australia's debt, credit rating checks out","Prime Minister Kevin Rudd claims Australia's debt per capita is one of the lowest in the developed world, and Australia is one of only eight countries given a AAA credit rating with a stable outlook.",Kevin Rudd,Accurate,Labor,Economy,,Wed Aug 14 00:12:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-14 00:12:38,0
6,4871852.0,https://www.abc.net.au/news/4871852,Kevin Rudd's $70 billion black hole claim not credible,Prime Minister Kevin Rudd claims the Opposition would need to make $70 billion in cuts to match the Government's path to budget surplus.,Kevin Rudd,Not credible,Labor,Budget(s),,Wed Aug 14 00:13:48 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-14 00:13:48,8
7,4874588.0,https://www.abc.net.au/news/4874588,Kevin Rudd can defend his jobs claim but Tony Abbott is more on the money,"Prime Minister Kevin Rudd says 1 million jobs have been created over the past five and a half years. But Opposition Leader Tony Abbott Opposition claims unemployment is marching towards 800,000. Can they both be right?","Kevin Rudd, Tony Abbott",Correct,Multiple_Parties,Employment,Employment,Wed Aug 14 00:13:48 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-14 00:13:48,2
8,4889778.0,https://www.abc.net.au/news/4889778,Tony Abbott correct on Pacific Solution outcome,"Opposition Leader Tony Abbott claims that during the Howard government's Pacific Solution, 40 per cent of the people sent to Manus Island and Nauru were permanently settled in Australia.",Tony Abbott,Checks Out,Liberal,Immigration,Refuge,Thu Aug 15 17:35:28 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-15 17:35:28,0
9,4892178.0,https://www.abc.net.au/news/4892178,Kevin Rudd's claim that Labor has been a lower taxing government checks out,"Prime Minister Kevin Rudd claims that ""under this government, the tax to GDP ratio has, in the period we've been in office, [been] an average of 22.7 per cent"".
",Kevin Rudd,Checks Out,Labor,Economy,Tax,Wed Aug 21 15:34:58 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-21 15:34:58,0
10,4896412.0,https://www.abc.net.au/news/4896412,Labor's National Broadband Network ad oversimplifies its benefits,"The Australian Labor Party has launched a political advertisement about its National Broadband Network (NBN) which makes claims on cost, speed and rollout.   ",Labor,Not full story; not yet; true,Labor,Infrastructure,NBN,Tue Aug 20 12:28:51 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-20 12:28:51,0
11,4897264.0,https://www.abc.net.au/news/4897264,"Joe Hockey exaggerates difference between Labor, Coalition record on debt",Opposition Treasury spokesman Joe Hockey claims the Labor Government has taken on large amounts of debt while the previous Coalition government left the nation with more assets than debt.,Joe Hockey,Exaggeration,Liberal,Economy,,Mon Aug 19 19:18:12 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-19 19:18:12,0
12,4899740.0,https://www.abc.net.au/news/4899740,Tony Abbott wrong on child immunisation rates,Opposition Leader Tony Abbott claims child immunisation rates have fallen under the Labor government.,Tony Abbott,Wrong,Liberal,Health,,Wed Aug 21 07:14:42 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-21 07:14:42,0
13,4904576.0,https://www.abc.net.au/news/4904576,Bob Katter wrong on number of gun deaths after Port Arthur,Katter's Australian Party leader Bob Katter claims gun-related deaths rose after the introduction of John Howard's National Firearms Agreement in 1996.,Bob Katter,Wrong,Independent,Health,Gun Laws,Fri Aug 23 08:46:32 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-23 08:46:32,0
14,4905958.0,https://www.abc.net.au/news/4905958,Kevin Rudd goes too far on paid parental leave for millionaires,Prime Minister Kevin Rudd claims the Coalition's signature promise would unfairly pay thousands of dollars in parental leave to men who earn a million dollars a year.,Kevin Rudd,Overreach,Labor,Economy,Parental Leave,Thu Aug 22 17:54:56 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-22 17:54:56,3
15,4906242.0,https://www.abc.net.au/news/4906242,Kevin Rudd wrong on Tony Abbott's '$1b hospital funding cut',Prime Minister Kevin Rudd has accused Opposition Leader Tony Abbott of cutting $1 billion in public hospital funding when he was health minister.,Kevin Rudd,Wrong,Labor,Health,,Fri Aug 23 15:33:29 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-23 15:33:29,0
16,4908332.0,https://www.abc.net.au/news/4908332,"Kevin Rudd's parental leave, child care comparison incorrect ","Prime Minister Kevin Rudd says the Coalition's paid parental leave scheme costs $22 billion, which he claims is more than the Government spends on childcare support.",Kevin Rudd,Incorrect,Labor,Health,Parental leave V childcare,Wed Sep 04 09:16:43 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-09-04 09:16:43,0
17,4912238.0,https://www.abc.net.au/news/4912238,Clive Palmer wrong on infant mortality rates,"Federal MP and businessman Clive Palmer claims infant mortality rates are higher among Indigenous Australians than in Africa, Asia or South America.",Clive Palmer,Wrong,Independent,Health,Palmer United Party,Mon Aug 26 14:36:48 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-26 14:36:48,1
18,4912726.0,https://www.abc.net.au/news/4912726,Tony Abbott's claim households will be $550 a year better off without the carbon tax is outdated,Opposition Leader Tony Abbott says households will be $550 a year better off if the Coalition scraps the carbon tax.,Tony Abbott,Outdated,Liberal,Environment,Carbon Tax,Wed Aug 28 17:38:19 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-28 17:38:19,0
19,4914434.0,https://www.abc.net.au/news/4914434,"Kevin Rudd's high speed rail, parental leave cost comparison is unsound ",Prime Minister Kevin Rudd claims building a high speed rail project from Brisbane to Melbourne by 2035 would cost less than the Coalition's paid parental leave scheme for the same period of time.,Kevin Rudd,Unsound,Labor,Infrastructure,High Speed Rail vs Paid Parental Leave,Thu Aug 29 12:02:25 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-29 12:02:25,0
20,4915222.0,https://www.abc.net.au/news/4915222,Chris Bowen correct on investor impact of parental leave scheme,Treasurer Chris Bowen claims the Coalition's proposed paid parental leave scheme will cost Australian investors $1.6 billion.,Chris Bowen,Correct,Labor,Economy,Parental Leave & Investor,Tue Aug 27 18:21:01 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-27 18:21:01,0
21,4917678.0,https://www.abc.net.au/news/4917678,National Tertiary Education Union correct on university class sizes,"An advertisement by the National Tertiary Education Union claims there are almost twice as many university students per teacher now than there were a generation ago. 

",National Tertiary Education Union,Correct,Union,Education,,2013-07-03 00:00:00,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-07-03 00:00:00,0
22,4917836.0,https://www.abc.net.au/news/4917836,Clive Palmer wrong on asylum seekers being paid more than pensioners,Federal MP and businessman Clive Palmer claims Australia's senior citizens are paid less than newly arrived asylum seekers.,Clive Palmer,Wrong,Independent,Immigration,Palmer United Party,"Age, The (Melbourne, Australia)",RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,,23
23,4923258.0,https://www.abc.net.au/news/4923258,Greg Hunt not giving the full story on climate research,"Opposition Climate spokesman Greg Hunt claims CSIRO research shows carbon emissions can be reduced by 20 per cent over 40 years using nature, soils and trees. ",Greg Hunt,Not the full story,Liberal,Environment,,Page 18,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,,100
24,4924562.0,https://www.abc.net.au/news/4924562,Penny Wong selective in jobs attack on Coalition,"Finance Minister Penny Wong claims there is a $2.4 billion hole in the Coalition's costing of its plan to shed 12,000 public service jobs.  ",Penny Wong,Cherrypicking,Labor,Budget(s),,"Lexile: 1350, grade level(s): >12",RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,,12
25,4925242.0,https://www.abc.net.au/news/4925242,Labor Party ad overreaches on Coalition school funding cuts,An education advertisement released by the Federal Government claims every school in Australia will be affected by cuts planned by Opposition Leader Tony Abbott.,Labor,Overreach,Labor,Education,,Mon Sep 02 10:25:22 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-02 10:25:22,0
26,4928548.0,https://www.abc.net.au/news/4928548,"Peter Dutton oversimplifies increase in elective surgery, GP waiting times","Opposition health spokesman Peter Dutton claims that under the Labor Government, Australians are waiting longer to see their GP and waiting longer for elective surgery. ",Peter Dutton,Oversimplified,Liberal,Health,,Tue Sep 03 17:42:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-03 17:42:38,0
