step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,5152,32,0.14315887774715425,0.0,0.0,0.13532516203427952,0.0,0.0,,
2,10816,64,0.12502920269939616,0.0,0.0,,,,,
3,17248,96,0.08246662402118915,0.0,0.0,,,,,
4,21632,128,0.06807910676138614,0.0,0.0,,,,,
5,27296,160,0.04163604106052255,0.3125,0.3125,,,,,
6,32704,192,0.02623190106421045,0.78125,0.78125,,,,,
7,37600,224,0.029379378224021865,0.65625,0.65625,,,,,
8,42752,256,0.027701326488281212,0.25,0.25,,,,,
9,48160,288,0.031204806640636375,0.46875,0.46875,0.025862193810444963,0.6875,0.6875,,
10,53312,320,0.022450374153356222,0.65625,0.65625,,,,,
11,58464,352,0.025318487280091857,0.6875,0.6875,,,,,
12,63872,384,0.02233346522085851,0.71875,0.71875,,,,,
13,70048,416,0.017381925706235177,0.8125,0.8125,,,,,
14,75968,448,0.021740095247726698,0.6875,0.6875,,,,,
15,81632,480,0.02404550959294862,0.6875,0.6875,,,,,
16,87040,512,0.02256664672576952,0.71875,0.71875,,,,,
17,92448,544,0.022089702245984017,0.6875,0.6875,0.026105872142430403,0.6875,0.6875,,
18,97856,576,0.020241532341316693,0.71875,0.71875,,,,,
19,103520,608,0.023051329259716546,0.5625,0.5625,,,,,
20,108672,640,0.024904702777351535,0.6875,0.6875,,,,,
21,112800,672,0.02572508979232186,0.75,0.75,,,,,
22,118720,704,0.023102376302696303,0.71875,0.71875,,,,,
23,125152,736,0.01987009751435353,0.625,0.625,,,,,
24,131584,768,0.019040809703140916,0.6875,0.6875,,,,,
25,137504,800,0.019874763898386383,0.75,0.75,0.02122966989195318,0.625,0.625,,
26,143936,832,0.021755291941804443,0.625,0.625,,,,,
27,149088,864,0.0258441722007351,0.59375,0.59375,,,,,
28,155520,896,0.017329007183149135,0.6875,0.6875,,,,,
29,160160,928,0.026468590343547475,0.625,0.625,,,,,
30,166080,960,0.018671145166471503,0.78125,0.78125,,,,,
31,172768,992,0.01974836558907087,0.6875,0.6875,,,,,
32,178432,1024,0.017317131414409086,0.8125,0.8125,,,,,
33,184352,1056,0.020359305140703565,0.65625,0.65625,0.015409234018230916,0.78125,0.78125,,
34,190784,1088,0.021827707576090667,0.625,0.625,,,,,
35,196960,1120,0.01790189736698686,0.71875,0.71875,,,,,
